kind,path,exists,bytes,status
table,results/tables/04_split_audit/split_input_discovery.csv,True,588,ok
table,results/tables/04_split_audit/dataset_registry_initial.csv,True,1115,ok
table,results/tables/04_split_audit/split_olive_oil_formulation_decision.csv,True,597,ok
table,results/tables/04_split_audit/visual_decision_map.csv,True,2295,ok
table,results/tables/04_split_audit/split_input_load_check.csv,True,522,ok
table,results/tables/04_split_audit/split_phase2_proxy_leakage_features.csv,True,257,ok
table,results/tables/04_split_audit/split_protocol.csv,True,529,ok
table,results/tables/04_split_audit/split_feature_target_map.csv,True,415,ok
table,results/tables/04_split_audit/split_creation_log.csv,True,356,ok
table,results/tables/04_split_audit/split_saved_files.csv,True,2245,ok
table,results/tables/04_split_audit/split_reload_check.csv,True,848,ok
table,results/tables/04_split_audit/split_target_homogeneity_tests.csv,True,578,ok
table,results/tables/04_split_audit/split_variable_distribution_tests.csv,True,233254,ok
table,results/tables/04_split_audit/split_pca_explained_variance.csv,True,2717,ok
table,results/tables/04_split_audit/split_overlap_check.csv,True,578,ok
table,results/tables/04_split_audit/split_leakage_audit.csv,True,253,ok
table,results/tables/04_split_audit/split_leakage_screening_coverage.csv,True,481,ok
table,results/tables/04_split_audit/adversarial_validation_results.csv,True,738,ok
table,results/tables/04_split_audit/adversarial_validation_fold_scores.csv,True,919,ok
table,results/tables/04_split_audit/split_final_checklist.csv,True,636,ok
table,results/tables/04_split_audit/split_figures_selected_for_report.csv,True,3916,ok
table,results/tables/04_split_audit/split_visual_figure_audit.csv,True,6920,ok
table,results/tables/04_split_audit/split_statistical_hypotheses.csv,True,3632,ok
table,results/tables/04_split_audit/split_downstream_phase_requirements.csv,True,1017,ok
table,results/tables/04_split_audit/split_downstream_statistical_testing_requirements.csv,True,1642,ok
figure,results/figures/04_split_audit/split_size_proportions.png,True,78614,ok
figure,results/figures/04_split_audit/breast_cancer_wisconsin_target_distribution_by_split.png,True,68261,ok
figure,results/figures/04_split_audit/customer_churn_target_distribution_by_split.png,True,63620,ok
figure,results/figures/04_split_audit/madelon_target_distribution_by_split.png,True,61706,ok
figure,results/figures/04_split_audit/olive_oil_3class_target_distribution_by_split.png,True,65910,ok
figure,results/figures/04_split_audit/olive_oil_9class_target_distribution_by_split.png,True,69792,ok
figure,results/figures/04_split_audit/breast_cancer_wisconsin_drift_top_features.png,True,106606,ok
figure,results/figures/04_split_audit/olive_oil_3class_drift_top_features.png,True,95331,ok
figure,results/figures/04_split_audit/olive_oil_9class_drift_top_features.png,True,91937,ok
figure,results/figures/04_split_audit/breast_cancer_wisconsin_pca_representativeness_scree.png,True,181075,ok
figure,results/figures/04_split_audit/customer_churn_pca_representativeness_scree.png,True,460572,ok
figure,results/figures/04_split_audit/madelon_pca_representativeness_scree.png,True,332778,ok
figure,results/figures/04_split_audit/olive_oil_3class_pca_representativeness_scree.png,True,180301,ok
figure,results/figures/04_split_audit/olive_oil_9class_pca_representativeness_scree.png,True,178996,ok
figure,results/figures/04_split_audit/breast_cancer_wisconsin_adversarial_validation.png,True,113374,ok
figure,results/figures/04_split_audit/customer_churn_adversarial_validation.png,True,98133,ok
figure,results/figures/04_split_audit/madelon_adversarial_validation.png,True,94884,ok
figure,results/figures/04_split_audit/olive_oil_3class_adversarial_validation.png,True,92999,ok
figure,results/figures/04_split_audit/olive_oil_9class_adversarial_validation.png,True,92505,ok
split,data/splits/breast_cancer_wisconsin/X_train.csv,True,85555,ok
split,data/splits/breast_cancer_wisconsin/y_train.csv,True,2332,ok
split,data/splits/breast_cancer_wisconsin/X_validation.csv,True,18864,ok
split,data/splits/breast_cancer_wisconsin/y_validation.csv,True,516,ok
split,data/splits/breast_cancer_wisconsin/X_test.csv,True,18912,ok
split,data/splits/breast_cancer_wisconsin/y_test.csv,True,522,ok
split,data/splits/customer_churn/X_train.csv,True,15767647,ok
split,data/splits/customer_churn/y_train.csv,True,2699480,ok
split,data/splits/customer_churn/X_validation.csv,True,3379901,ok
split,data/splits/customer_churn/y_validation.csv,True,578513,ok
split,data/splits/customer_churn/X_test.csv,True,3379545,ok
split,data/splits/customer_churn/y_test.csv,True,578451,ok
split,data/splits/madelon/X_train.csv,True,2810645,ok
split,data/splits/madelon/y_train.csv,True,9065,ok
split,data/splits/madelon/X_validation.csv,True,605736,ok
split,data/splits/madelon/y_validation.csv,True,1953,ok
split,data/splits/madelon/X_test.csv,True,605719,ok
split,data/splits/madelon/y_test.csv,True,1938,ok
split,data/splits/olive_oil_3class/X_train.csv,True,13850,ok
split,data/splits/olive_oil_3class/y_train.csv,True,2348,ok
split,data/splits/olive_oil_3class/X_validation.csv,True,3041,ok
split,data/splits/olive_oil_3class/y_validation.csv,True,515,ok
split,data/splits/olive_oil_3class/X_test.csv,True,3036,ok
split,data/splits/olive_oil_3class/y_test.csv,True,519,ok
split,data/splits/olive_oil_9class/X_train.csv,True,13857,ok
split,data/splits/olive_oil_9class/y_train.csv,True,2348,ok
split,data/splits/olive_oil_9class/X_validation.csv,True,3030,ok
split,data/splits/olive_oil_9class/y_validation.csv,True,519,ok
split,data/splits/olive_oil_9class/X_test.csv,True,3040,ok
split,data/splits/olive_oil_9class/y_test.csv,True,521,ok
